iter	Passed	Remaining
0	77	77785
1	157	78379
2	232	77407
3	330	82237
4	432	86001
5	533	88464
6	630	89418
7	729	90501
8	840	92552
9	947	93779
10	1040	93585
11	1142	94058
12	1230	93416
13	1329	93601
14	1457	95681
15	1543	94951
16	1644	95068
17	1752	95623
18	1858	95933
19	1951	95617
20	2046	95410
21	2140	95151
22	2241	95198
23	2327	94635
24	2414	94151
25	2504	93808
26	2591	93386
27	2697	93650
28	2786	93297
29	2874	92945
30	2965	92710
31	3056	92446
32	3158	92539
33	3253	92434
34	3356	92557
35	3450	92383
36	3551	92444
37	3651	92440
38	3765	92789
39	3876	93035
40	3987	93265
41	4089	93286
42	4198	93432
43	4302	93474
44	4390	93167
45	4486	93038
46	4579	92852
47	4689	93004
48	4786	92896
49	4896	93041
50	5001	93075
51	5096	92918
52	5195	92834
53	5287	92629
54	5385	92528
55	5500	92721
56	5594	92549
57	5698	92554
58	5799	92500
59	5900	92438
60	6020	92681
61	6136	92833
62	6247	92923
63	6345	92805
64	6448	92758
65	6557	92798
66	6675	92961
67	6784	92993
68	6906	93187
69	7031	93414
70	7145	93490
71	7252	93477
72	7355	93402
73	7459	93343
74	7580	93488
75	7675	93314
76	7790	93386
77	7928	93715
78	8033	93651
79	8144	93666
80	8251	93614
81	8354	93525
82	8478	93669
83	8630	94118
84	8769	94403
85	8893	94514
86	8985	94293
87	9083	94134
88	9189	94065
89	9301	94050
90	9391	93810
91	9484	93603
92	9609	93715
93	9726	93751
94	9851	93852
95	9974	93923
96	10103	94054
97	10215	94020
98	10339	94100
99	10455	94099
100	10576	94142
101	10711	94299
102	10834	94351
103	10944	94292
104	11060	94274
105	11181	94304
106	11290	94230
107	11398	94139
108	11528	94235
109	11642	94197
110	11752	94122
111	11855	93997
112	11978	94025
113	12079	93877
114	12185	93773
115	12277	93562
116	12378	93416
117	12471	93216
118	12564	93020
119	12664	92870
120	12774	92802
121	12887	92748
122	13007	92742
123	13136	92805
124	13251	92761
125	13399	92942
126	13511	92877
127	13627	92839
128	13732	92723
129	13838	92614
130	13937	92457
131	14037	92305
132	14120	92046
133	14228	91954
134	14322	91770
135	14426	91649
136	14518	91457
137	14635	91416
138	14735	91273
139	14830	91101
140	14939	91015
141	15024	90784
142	15126	90654
143	15213	90434
144	15312	90292
145	15389	90019
146	15474	89791
147	15575	89664
148	15684	89582
149	15776	89400
150	15898	89391
151	15990	89212
152	16087	89058
153	16207	89037
154	16296	88843
155	16395	88703
